,Positive,Negative,Neutral,Compound
2018-01-09,0.19261658031088086,0.00406217616580311,0.8033264248704666,0.4550906735751294
2018-01-16,0.2139759036144579,0.006506024096385543,0.7795180722891565,0.4565024096385544
2018-01-23,0.164575221238938,0.04971681415929203,0.7857168141592918,0.36046991150442487
2018-01-30,0.15653061224489798,0.015448979591836734,0.8280306122448982,0.37033979591836735
2018-02-06,0.16211111111111115,0.010050505050505051,0.8278484848484851,0.45330707070707066
2018-02-13,0.15441860465116283,0.012790697674418606,0.8327906976744188,0.4152325581395348
2018-02-20,0.17445783132530115,0.035891566265060244,0.7896746987951808,0.35569518072289147
2018-02-27,0.1516117647058824,0.02443529411764706,0.8239529411764706,0.32743294117647054
2018-03-06,0.15666,0.02094,0.8223800000000004,0.36629699999999993
2018-03-13,0.17004878048780492,0.009341463414634146,0.8205853658536585,0.4041317073170732
2018-03-20,0.0972,0.05308571428571429,0.8497142857142858,0.2215942857142857
2018-03-27,0.1357391304347826,0.04052173913043478,0.8237391304347826,0.2786260869565217
2018-04-03,0.16988,0.00796,0.8221600000000001,0.442048
2018-04-10,0.21050000000000002,0.0026818181818181815,0.786818181818182,0.5498545454545454
2018-04-17,0.16710714285714287,0.02246428571428571,0.8104285714285712,0.4737107142857142
2018-04-24,0.19966666666666658,0.010625,0.7896666666666667,0.4669291666666666
2018-05-01,0.19106249999999997,0.0,0.8089374999999999,0.520325
2018-05-08,0.18684615384615383,0.0,0.8131538461538461,0.5001076923076924
2018-05-15,0.15382352941176472,0.0032941176470588237,0.8429411764705882,0.3809411764705882
2018-05-22,0.1400588235294118,0.017941176470588235,0.8420000000000001,0.4206470588235294
2018-05-29,0.15696666666666667,0.012533333333333334,0.8305333333333333,0.44906
2018-06-05,0.15451515151515155,0.012424242424242423,0.8330606060606062,0.47099393939393935
2018-06-12,0.17605263157894732,0.010210526315789474,0.8137894736842105,0.5454789473684211
2018-06-19,0.13606249999999998,0.04175,0.8221250000000001,0.36540624999999993
2018-06-26,0.20879999999999996,0.022199999999999998,0.7689499999999999,0.49708499999999994
2018-07-03,0.14097435897435898,0.01941025641025641,0.8396153846153848,0.3137948717948718
2018-07-10,0.152974358974359,0.04335897435897437,0.8036923076923078,0.39959999999999996
2018-07-17,0.14922222222222217,0.016925925925925928,0.833888888888889,0.39753333333333346
2018-07-24,0.18065,0.00495,0.8144,0.42967500000000014
2018-07-31,0.14104999999999998,0.03185,0.8271,0.409605
2018-08-07,0.09337837837837838,0.08083783783783786,0.8257837837837839,0.1203
2018-08-14,0.058291666666666665,0.10770833333333335,0.834,0.08421249999999998
2018-08-21,0.21461538461538462,0.02184615384615385,0.7635384615384615,0.5833076923076922
2018-08-28,0.16023076923076923,0.0038461538461538464,0.835923076923077,0.4627307692307693
2018-09-04,0.17384615384615387,0.005153846153846154,0.821,0.5797692307692308
2018-09-11,0.18525000000000003,0.0115,0.80325,0.6674
2018-09-18,0.18100000000000002,0.0057272727272727275,0.8132727272727273,0.6047727272727272
2018-09-25,0.16315384615384615,0.0037692307692307695,0.8330769230769233,0.4260769230769231
2018-10-02,0.15419999999999998,0.0623,0.7832999999999999,0.2991466666666666
2018-10-09,0.1858738738738739,0.006585585585585586,0.8075315315315313,0.43934684684684694
2018-10-16,0.18051851851851858,0.004666666666666667,0.8148518518518519,0.5131518518518519
2018-10-23,0.1318095238095238,0.022952380952380953,0.8452857142857142,0.4174047619047619
2018-10-30,0.23290000000000002,0.012,0.7551,0.6546350000000001
2018-11-06,0.16855555555555554,0.01633333333333333,0.8152222222222222,0.5252333333333334
2018-11-13,0.13266666666666668,0.010666666666666666,0.8566666666666666,0.39683333333333337
2018-11-20,0.15962500000000002,0.0495,0.7906249999999999,0.2387625
2018-11-27,0.13785714285714284,0.0,0.8621428571428572,0.4120857142857143
2018-12-04,0.14073684210526316,0.0,0.8592631578947368,0.4123789473684211
2018-12-11,0.09691666666666666,0.050583333333333334,0.8525833333333334,0.11720833333333332
2018-12-18,0.10027272727272728,0.034,0.8657272727272727,0.20429090909090908
2018-12-25,0.157,0.008833333333333334,0.8341666666666666,0.494
2019-01-01,0.07271875000000001,0.01028125,0.917,0.229803125
2019-01-08,0.13476923076923078,0.02692307692307692,0.8382307692307691,0.33051538461538466
2019-01-15,0.26749999999999996,0.02075,0.712,0.47240000000000004
2019-01-22,0.1825,0.034375,0.7831250000000001,0.4012125
2019-01-29,0.10766666666666666,0.015555555555555557,0.8767777777777778,0.3479777777777778
2019-02-05,0.19475,0.02325,0.7822499999999999,0.54665
2019-02-12,0.14785714285714288,0.007,0.8451428571428571,0.48942857142857144
2019-02-19,0.09342105263157895,0.1394736842105263,0.7671052631578948,0.01551052631578948
2019-02-26,0.1793,0.017599999999999998,0.8031500000000001,0.5446650000000001
2019-03-05,0.19937500000000002,0.014437499999999999,0.7861875,0.48028124999999994
2019-03-12,0.16754545454545455,0.023363636363636364,0.8090909090909091,0.5095090909090909
2019-03-19,0.16761538461538464,0.04894230769230769,0.7834807692307694,0.3328807692307692
2019-03-26,0.15200000000000002,0.02148979591836735,0.8265102040816326,0.35558367346938774
2019-04-02,0.17375,0.043475,0.78275,0.35956749999999993
2019-04-09,0.1774,0.03188571428571429,0.7906857142857143,0.4598628571428571
2019-04-16,0.19103703703703706,0.008703703703703703,0.8002592592592593,0.4907962962962963
2019-04-23,0.1907872340425532,0.005212765957446809,0.8040212765957447,0.5809936170212767
2019-04-30,0.15593442622950815,0.004622950819672131,0.8394426229508198,0.5499377049180325
2019-05-07,0.12838596491228074,0.01149122807017544,0.8601403508771932,0.365938596491228
2019-05-14,0.1606756756756757,0.013594594594594597,0.8257297297297296,0.47803513513513535
2019-05-21,0.18499999999999997,0.017256410256410257,0.7976923076923076,0.49466410256410254
2019-05-28,0.160037037037037,0.011,0.8289629629629629,0.5451518518518519
2019-06-04,0.14647999999999997,0.008320000000000001,0.84524,0.45154800000000006
2019-06-11,0.14214814814814813,0.00737037037037037,0.8504814814814816,0.4967925925925926
2019-06-18,0.14009302325581394,0.05625581395348837,0.8037209302325583,0.32585116279069765
2019-06-25,0.14005555555555557,0.024777777777777774,0.8351666666666666,0.4479833333333333
2019-07-02,0.11184615384615386,0.05246153846153846,0.8356923076923077,0.23174615384615385
2019-07-09,0.15758333333333333,0.03391666666666667,0.8085,0.3325166666666667
2019-07-16,0.18161538461538462,0.016538461538461537,0.8018461538461538,0.4797692307692308
2019-07-23,0.13433333333333333,0.03955555555555555,0.8261111111111111,0.27811111111111114
2019-07-30,0.1767,0.011899999999999999,0.8114000000000001,0.5091300000000001
2019-08-06,0.15,0.0,0.85,0.60434
2019-08-13,0.16099999999999998,0.0,0.839,0.6273
2019-08-20,0.17366666666666666,0.005111111111111111,0.8212222222222223,0.5527333333333333
2019-08-27,0.16699999999999998,0.01175,0.82125,0.47515
2019-09-03,0.1455714285714286,0.04642857142857143,0.8078571428571427,0.45271428571428574
2019-09-10,0.1857777777777778,0.011777777777777778,0.8024444444444444,0.6578444444444445
2019-09-17,0.12,0.015,0.8649999999999999,0.48500000000000004
